SEASON,TEAM ID,TEAM,OVERALL,HOME RECORD,ROAD RECORD,EASTERN CONFERENCE RECORD,WESTERN CONFERENCE RECORD,ATLANTIC DIVISION RECORD,CENTRAL DIVISION RECORD,MIDWESTERM DIVISION RECORD,PACIFIC DIVISION RECORD,PRE ALLSTAR RECORD,POST ALLSTAR RECORD,3 POINT MARGIN,10 POINT MARGIN,OCT RECORD,NOV RECORD,DEC RECORD,JAN RECORD,FEB RECORD,MAR RECORD
1980,2,BOS,61-21,35-6,26-15,45-15,16-6,17-7,28-8,9-1,7-5,40-13,21-8,8-7,34-5,7-2,10-2,12-5,11-4,9-2,12-6
1980,14,LAL,60-22,37-4,23-18,18-4,42-18,8-2,10-2,23-7,19-11,38-17,22-5,11-5,29-6,7-3,9-6,12-4,10-4,9-2,13-3
1980,23,PHI,59-23,36-5,23-18,44-16,15-7,19-5,25-11,7-3,8-4,38-14,21-9,17-3,24-8,8-1,10-6,9-4,11-3,10-3,11-6
1980,21,SEA,56-26,33-8,23-18,17-5,39-21,7-3,10-2,21-9,18-12,38-16,18-10,10-6,25-7,5-5,11-2,11-4,11-5,9-4,9-6
1980,24,PHO,55-27,37-5,18-22,13-9,42-18,5-5,8-4,23-7,19-11,35-19,20-8,10-4,27-12,7-4,9-5,10-5,9-5,8-5,12-3
1980,1,ALT,50-32,32-9,18-23,38-22,12-10,17-13,21-9,5-5,7-5,32-23,18-9,8-11,19-11,6-5,9-6,10-4,7-8,8-3,10-6
1980,17,MIL,49-33,28-12,21-21,10-12,39-21,3-7,7-5,15-9,24-12,29-27,20-6,13-10,23-12,9-1,8-6,5-11,7-9,10-2,10-4
1980,26,KCK,47-35,30-11,17-24,14-8,33-27,6-4,8-4,18-6,15-21,35-23,12-12,10-11,22-9,5-5,8-9,9-4,13-5,6-4,6-8
1980,11,HOU,41-41,29-12,12-29,30-30,11-11,10-20,20-10,5-5,6-6,25-28,16-13,15-7,17-16,2-7,10-4,5-9,8-8,8-5,8-8
1980,27,SAS,41-41,27-14,14-27,27-33,14-8,13-17,14-16,7-3,7-5,29-25,12-16,7-7,13-13,6-3,7-7,6-9,10-6,4-8,8-8
1980,30,WAB,39-43,24-17,15-26,27-33,12-10,9-15,18-18,6-4,6-6,23-29,16-14,11-9,10-24,3-5,6-7,6-7,8-10,6-6,10-8
1980,20,NYK,39-43,25-16,14-27,26-34,13-9,8-16,18-18,6-4,7-5,27-28,12-15,6-10,13-21,5-5,6-8,8-8,8-7,5-5,7-10
1980,25,POR,38-44,26-15,12-29,9-13,29-31,3-7,6-6,16-14,13-17,26-29,12-15,11-9,16-16,9-2,7-8,4-11,6-8,4-7,8-8
1980,6,CLE,37-45,28-13,9-32,28-32,9-13,12-18,16-14,4-6,5-7,23-32,14-13,8-13,18-15,3-8,8-7,8-5,4-12,3-10,11-3
1980,12,IND,37-45,26-15,11-30,28-32,9-13,13-17,15-15,5-5,4-8,26-28,11-17,8-6,16-17,5-6,6-9,6-6,9-7,5-7,6-10
1980,13,SDC,35-47,24-17,11-30,9-13,26-34,4-6,5-7,13-17,13-17,28-29,7-18,5-12,14-27,4-7,7-8,9-6,8-8,3-8,4-10
1980,3,NJN,34-48,22-19,12-29,26-34,8-14,7-17,19-17,5-5,3-9,22-32,12-16,5-12,16-17,2-7,8-8,5-8,7-9,5-7,7-9
1980,5,CHI,30-52,21-20,9-32,7-15,23-37,2-8,5-7,8-16,15-21,18-35,12-17,7-9,7-20,3-8,4-10,5-7,6-10,5-9,7-8
1980,8,DEN,30-52,24-17,6-35,9-13,21-39,3-7,6-6,10-14,11-25,19-37,11-15,5-7,12-28,2-8,7-9,5-9,5-11,6-5,5-10
1980,10,GSW,24-58,15-26,9-32,5-17,19-41,2-8,3-9,11-19,8-22,16-38,8-20,2-14,13-22,5-5,5-9,2-12,4-12,4-9,4-11
1980,29,UTA,24-58,17-24,7-34,7-15,17-43,3-7,4-8,9-15,8-28,18-37,6-21,6-6,8-35,2-7,1-12,9-8,6-10,3-10,3-11
1980,9,DET,16-66,13-28,3-38,11-49,5-17,7-23,4-26,4-6,1-11,14-40,2-26,4-9,6-41,4-5,3-11,3-13,4-11,1-10,1-16
